"Date","Price","Open","High","Low","Change %"
"Jun 21, 2019","1.1300","1.1294","1.1300","1.1293","0.04%"
"Jun 20, 2019","1.1295","1.1236","1.1315","1.1235","0.61%"
"Jun 19, 2019","1.1226","1.1193","1.1254","1.1187","0.29%"
"Jun 18, 2019","1.1193","1.1219","1.1244","1.1181","-0.22%"
"Jun 17, 2019","1.1218","1.1215","1.1247","1.1203","0.08%"
"Jun 14, 2019","1.1209","1.1282","1.1291","1.1202","-0.60%"
