"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 19, 2019","100,303.41","99,403.24","100,327.15","98,977.84","4.55M","0.90%"
"Jun 18, 2019","99,404.39","97,633.36","99,411.78","97,633.36","4.66M","1.82%"
"Jun 17, 2019","97,623.25","98,037.52","98,439.36","97,622.65","4.05M","-0.43%"
"Jun 14, 2019","98,040.06","98,775.72","98,980.83","97,600.83","9.47M","-0.74%"
"Jun 13, 2019","98,773.70","98,321.11","99,364.48","98,321.11","5.77M","0.46%"
"Jun 12, 2019","98,320.88","98,959.59","99,239.50","97,831.00","5.10M","-0.65%"
"Jun 11, 2019","98,960.00","97,466.69","98,984.60","97,466.69","5.08M","1.53%"
"Jun 10, 2019","97,466.69","97,827.62","97,856.00","96,782.23","3.69M","-0.36%"
"Jun 07, 2019","97,821.26","97,204.85","98,325.57","97,204.85","3.83M","0.63%"
"Jun 06, 2019","97,204.85","96,001.79","97,461.97","96,001.79","4.18M","1.26%"
"Jun 05, 2019","95,998.75","97,381.37","97,686.14","95,685.84","3.89M","-1.42%"
"Jun 04, 2019","97,380.28","97,020.10","97,722.88","96,593.43","4.43M","0.37%"
"Jun 03, 2019","97,020.48","97,035.78","97,756.75","96,429.88","4.69M","-0.01%"
"May 31, 2019","97,030.32","97,419.73","97,992.31","96,792.40","5.25M","-0.44%"
"May 30, 2019","97,457.36","96,565.54","97,939.08","96,510.53","4.53M","0.92%"
"May 29, 2019","96,566.55","96,388.66","96,985.83","95,689.78","4.70M","0.18%"
"May 28, 2019","96,392.76","94,863.04","96,551.80","94,706.70","6.58M","1.61%"
"May 27, 2019","94,864.25","93,625.70","95,444.04","93,625.70","2.62M","1.32%"
"May 24, 2019","93,627.80","93,912.05","94,899.52","93,545.46","3.59M","-0.30%"
"May 23, 2019","93,910.03","94,360.10","94,546.68","93,299.97","3.90M","-0.48%"
"May 22, 2019","94,360.66","94,485.43","95,211.75","93,882.56","4.36M","-0.13%"
"May 21, 2019","94,484.63","91,945.56","94,572.55","91,945.56","5.56M","2.76%"
"May 20, 2019","91,946.19","90,005.81","92,116.51","89,822.25","4.76M","2.17%"
"May 17, 2019","89,992.73","90,023.41","91,320.54","89,408.93","5.51M","-0.04%"
"May 16, 2019","90,024.47","91,621.82","91,621.82","89,778.11","5.74M","-1.75%"
"May 15, 2019","91,623.44","92,087.83","92,087.83","90,294.63","4.94M","-0.51%"
"May 14, 2019","92,092.44","91,736.48","92,528.53","91,562.45","4.17M","0.40%"
"May 13, 2019","91,726.54","94,252.49","94,252.49","91,599.97","4.81M","-2.69%"
"May 10, 2019","94,257.56","94,809.00","94,847.83","93,234.12","4.22M","-0.58%"
"May 09, 2019","94,807.85","95,596.61","95,596.61","93,883.23","4.28M","-0.83%"
"May 08, 2019","95,596.61","94,388.56","96,311.89","94,388.56","5.07M","1.28%"
"May 07, 2019","94,388.73","95,008.66","95,008.66","92,749.70","5.06M","-0.65%"
"May 06, 2019","95,008.66","95,991.51","95,991.51","94,539.99","3.32M","-1.04%"
"May 03, 2019","96,007.89","95,520.64","96,314.61","95,520.64","4.14M","0.50%"
"May 02, 2019","95,527.62","96,339.31","96,339.31","95,311.67","3.98M","-0.86%"
"Apr 30, 2019","96,353.33","96,191.45","96,706.71","95,613.24","4.36M","0.17%"
"Apr 29, 2019","96,187.75","96,253.53","97,123.09","96,003.57","3.33M","-0.05%"
"Apr 26, 2019","96,236.04","96,552.15","96,563.20","95,620.12","3.88M","-0.33%"
"Apr 25, 2019","96,552.03","95,026.88","96,552.03","94,212.77","5.03M","1.59%"
"Apr 24, 2019","95,045.43","95,923.48","95,923.48","94,163.33","4.80M","-0.92%"
"Apr 23, 2019","95,923.24","94,590.49","96,315.40","94,590.49","4.44M","1.41%"
"Apr 22, 2019","94,588.06","94,577.82","95,037.90","93,720.50","3.27M","0.01%"
"Apr 18, 2019","94,578.26","93,285.33","95,140.29","93,285.33","5.09M","1.39%"
"Apr 17, 2019","93,284.75","94,336.78","95,041.78","92,337.54","6.66M","-1.11%"
"Apr 16, 2019","94,333.31","93,082.09","95,061.95","92,878.99","4.72M","1.34%"
"Apr 15, 2019","93,082.97","92,874.83","93,722.86","92,697.05","4.77M","0.22%"
"Apr 12, 2019","92,875.00","94,746.92","94,768.18","92,516.32","6.93M","-1.98%"
"Apr 11, 2019","94,754.70","95,953.90","95,953.90","94,173.36","3.64M","-1.25%"
"Apr 10, 2019","95,953.45","96,291.79","96,902.14","95,669.58","4.72M","-0.35%"
"Apr 09, 2019","96,291.79","97,366.05","97,366.05","95,487.57","3.85M","-1.11%"
"Apr 08, 2019","97,369.29","97,110.05","97,610.25","96,742.91","3.54M","0.27%"
"Apr 05, 2019","97,108.17","96,319.32","97,493.10","96,152.08","3.80M","0.83%"
"Apr 04, 2019","96,313.06","94,502.60","96,393.56","94,333.95","4.21M","1.93%"
"Apr 03, 2019","94,491.48","95,392.32","96,442.31","94,124.40","4.44M","-0.94%"
"Apr 02, 2019","95,386.76","96,062.10","96,690.17","94,824.93","3.83M","-0.70%"
"Apr 01, 2019","96,054.45","95,422.90","96,751.53","95,422.90","3.87M","0.67%"
"Mar 29, 2019","95,414.55","94,401.69","95,862.75","94,401.69","4.82M","1.09%"
"Mar 28, 2019","94,388.94","91,900.60","94,853.71","91,584.26","5.35M","2.70%"
"Mar 27, 2019","91,903.40","95,297.25","95,297.25","91,903.40","5.90M","-3.57%"
"Mar 26, 2019","95,306.82","93,668.27","95,524.70","93,668.27","4.80M","1.76%"
"Mar 25, 2019","93,662.01","93,735.41","94,383.78","93,103.15","4.65M","-0.08%"
"Mar 22, 2019","93,735.15","96,724.71","96,724.71","93,379.64","6.19M","-3.10%"
"Mar 21, 2019","96,729.08","98,041.14","98,045.97","95,456.28","5.49M","-1.34%"
"Mar 20, 2019","98,041.37","99,588.47","99,707.96","97,980.93","4.78M","-1.55%"
"Mar 19, 2019","99,588.37","99,990.91","100,438.87","99,372.87","5.39M","-0.41%"
"Mar 18, 2019","99,993.92","99,141.49","100,037.69","99,141.43","4.33M","0.86%"
"Mar 15, 2019","99,136.74","98,604.99","99,393.33","98,597.33","5.30M","0.54%"
