"Date","Price","Open","High","Low","Vol.","Change %"
"May 15, 2019","25,648.02","25,400.13","25,724.89","25,341.94","270.72M","0.45%"
"May 14, 2019","25,532.05","25,384.03","25,688.96","25,384.03","291.57M","0.82%"
"May 13, 2019","25,324.99","25,568.06","25,568.06","25,222.51","361.24M","-2.38%"
"May 10, 2019","25,942.37","25,763.72","26,019.32","25,469.86","294.58M","0.44%"
"May 09, 2019","25,828.36","25,878.85","25,884.89","25,517.39","334.76M","-0.54%"
"May 08, 2019","25,967.33","25,933.79","26,118.10","25,889.41","276.42M","0.01%"
"May 07, 2019","25,965.09","26,276.90","26,276.90","25,789.71","334.96M","-1.79%"
"May 06, 2019","26,438.48","26,160.62","26,476.27","26,033.95","283.02M","-0.25%"
"May 03, 2019","26,504.95","26,379.14","26,534.96","26,370.09","248.90M","0.75%"
"May 02, 2019","26,307.79","26,407.15","26,454.69","26,180.36","287.61M","-0.46%"
"May 01, 2019","26,430.14","26,639.06","26,689.39","26,426.38","303.85M","-0.61%"
"Apr 30, 2019","26,592.91","26,594.56","26,614.04","26,419.47","340.32M","0.15%"
"Apr 29, 2019","26,554.39","26,559.87","26,602.54","26,520.75","279.45M","0.04%"
"Apr 26, 2019","26,543.33","26,454.62","26,543.56","26,392.55","317.29M","0.31%"
"Apr 25, 2019","26,462.08","26,426.37","26,536.48","26,310.28","296.73M","-0.51%"
"Apr 24, 2019","26,597.05","26,652.56","26,680.58","26,582.86","283.37M","-0.22%"
"Apr 23, 2019","26,656.39","26,513.83","26,695.96","26,503.56","311.69M","0.55%"
"Apr 22, 2019","26,511.05","26,510.77","26,553.05","26,458.61","232.57M","-0.18%"
"Apr 18, 2019","26,559.54","26,463.37","26,602.42","26,444.53","332.85M","0.42%"
"Apr 17, 2019","26,449.54","26,468.53","26,501.02","26,391.86","367.78M","-0.01%"
"Apr 16, 2019","26,452.66","26,482.19","26,530.71","26,397.19","302.34M","0.26%"
"Apr 15, 2019","26,384.77","26,407.76","26,424.85","26,316.42","250.62M","-0.10%"
"Apr 12, 2019","26,412.30","26,357.79","26,436.68","26,309.72","369.91M","1.03%"
"Apr 11, 2019","26,143.05","26,188.21","26,229.88","26,062.59","211.68M","-0.05%"
"Apr 10, 2019","26,157.16","26,173.71","26,209.49","26,101.24","203.13M","0.03%"
"Apr 09, 2019","26,150.58","26,243.54","26,246.34","26,103.14","244.41M","-0.72%"
"Apr 08, 2019","26,341.02","26,312.67","26,344.65","26,246.03","229.38M","-0.32%"
"Apr 05, 2019","26,424.99","26,427.56","26,487.57","26,370.82","229.55M","0.15%"
"Apr 04, 2019","26,384.63","26,213.42","26,398.90","26,212.78","233.04M","0.64%"
"Apr 03, 2019","26,218.13","26,238.03","26,282.17","26,138.47","271.98M","0.15%"
"Apr 02, 2019","26,179.13","26,213.55","26,221.24","26,122.31","250.94M","-0.30%"
"Apr 01, 2019","26,258.42","26,075.10","26,280.90","26,071.69","295.57M","1.27%"
"Mar 29, 2019","25,928.68","25,827.31","25,949.32","25,771.67","300.62M","0.82%"
"Mar 28, 2019","25,717.46","25,693.32","25,743.41","25,576.69","237.17M","0.36%"
"Mar 27, 2019","25,625.59","25,676.34","25,758.17","25,425.27","270.34M","-0.13%"
"Mar 26, 2019","25,657.73","25,649.56","25,796.29","25,544.78","305.11M","0.55%"
"Mar 25, 2019","25,516.83","25,490.72","25,603.27","25,372.26","303.12M","0.06%"
"Mar 22, 2019","25,502.32","25,844.65","25,877.01","25,501.45","386.51M","-1.77%"
"Mar 21, 2019","25,962.51","25,688.44","26,009.90","25,657.78","335.25M","0.84%"
"Mar 20, 2019","25,745.67","25,867.79","25,929.52","25,670.63","321.98M","-0.55%"
"Mar 19, 2019","25,887.38","25,987.87","26,109.68","25,814.92","342.25M","-0.10%"
"Mar 18, 2019","25,914.10","25,801.88","25,924.77","25,785.66","303.17M","0.25%"
"Mar 15, 2019","25,848.87","25,720.96","25,927.91","25,649.70","616.91M","0.54%"
"Mar 14, 2019","25,709.94","25,692.31","25,752.84","25,621.31","302.79M","0.03%"
"Mar 13, 2019","25,702.89","25,637.23","25,776.49","25,571.31","331.41M","0.58%"
"Mar 12, 2019","25,554.66","25,600.30","25,675.44","25,522.17","312.52M","-0.38%"
"Mar 11, 2019","25,650.88","25,208.00","25,661.63","25,208.00","309.79M","0.79%"
"Mar 08, 2019","25,450.24","25,347.38","25,466.14","25,252.46","270.50M","-0.09%"
"Mar 07, 2019","25,473.23","25,645.45","25,645.45","25,352.55","289.14M","-0.78%"
"Mar 06, 2019","25,673.46","25,818.76","25,837.61","25,633.71","256.25M","-0.52%"
"Mar 05, 2019","25,806.63","25,829.07","25,877.15","25,725.63","252.26M","-0.05%"
"Mar 04, 2019","25,819.65","26,122.19","26,155.98","25,611.55","295.51M","-0.79%"
