"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 20, 2019","9,208.50","9,272.10","9,292.70","9,204.80","208.46M","-0.25%"
"Jun 19, 2019","9,231.20","9,257.30","9,263.30","9,192.40","180.12M","-0.10%"
"Jun 18, 2019","9,240.70","9,112.90","9,253.40","9,060.40","200.01M","1.19%"
"Jun 17, 2019","9,131.70","9,199.60","9,205.10","9,127.90","118.12M","-0.68%"
"Jun 14, 2019","9,194.20","9,233.80","9,244.70","9,169.30","114.98M","-0.57%"
"Jun 13, 2019","9,247.10","9,227.60","9,301.70","9,208.80","126.13M","0.09%"
"Jun 12, 2019","9,238.50","9,244.40","9,274.60","9,223.10","145.20M","-0.47%"
"Jun 11, 2019","9,282.10","9,288.60","9,332.50","9,273.40","144.70M","-0.13%"
"Jun 10, 2019","9,294.10","9,284.20","9,302.20","9,248.10","102.32M","0.63%"
"Jun 07, 2019","9,236.10","9,186.70","9,261.40","9,185.70","150.66M","0.73%"
"Jun 06, 2019","9,169.20","9,169.20","9,246.20","9,136.70","212.72M","0.20%"
"Jun 05, 2019","9,150.50","9,136.80","9,173.40","9,095.00","158.75M","0.36%"
"Jun 04, 2019","9,117.60","8,972.70","9,138.50","8,964.20","197.02M","1.05%"
"Jun 03, 2019","9,022.80","8,945.70","9,022.80","8,903.10","156.19M","0.21%"
"May 31, 2019","9,004.20","9,054.90","9,074.00","8,959.50","208.66M","-1.68%"
"May 30, 2019","9,157.80","9,120.80","9,175.20","9,114.10","101.39M","0.85%"
"May 29, 2019","9,080.50","9,113.20","9,116.70","9,035.10","148.99M","-1.21%"
"May 28, 2019","9,191.80","9,220.40","9,224.90","9,132.90","218.90M","-0.27%"
"May 27, 2019","9,216.40","9,225.90","9,294.60","9,204.70","60.18M","0.46%"
"May 24, 2019","9,174.60","9,150.30","9,211.10","9,141.40","121.67M","0.66%"
"May 23, 2019","9,114.00","9,170.70","9,186.70","9,098.40","161.09M","-1.28%"
"May 22, 2019","9,232.20","9,232.30","9,288.70","9,182.50","146.55M","-0.07%"
"May 21, 2019","9,239.10","9,229.00","9,255.00","9,185.20","131.58M","0.43%"
"May 20, 2019","9,199.70","9,286.00","9,334.90","9,177.90","153.32M","-0.87%"
"May 17, 2019","9,280.10","9,278.70","9,321.60","9,223.10","159.80M","-0.26%"
"May 16, 2019","9,304.30","9,161.40","9,304.30","9,136.70","157.57M","1.39%"
"May 15, 2019","9,177.10","9,143.00","9,177.10","9,061.90","143.43M","0.54%"
"May 14, 2019","9,127.60","9,078.20","9,127.60","9,053.60","139.68M","0.89%"
"May 13, 2019","9,046.80","9,127.60","9,127.60","9,025.70","147.44M","-0.78%"
"May 10, 2019","9,117.50","9,149.40","9,179.40","9,099.10","147.76M","0.25%"
"May 09, 2019","9,095.20","9,162.10","9,184.80","9,079.80","167.00M","-1.43%"
"May 08, 2019","9,227.00","9,233.90","9,261.20","9,158.30","185.75M","-0.09%"
"May 07, 2019","9,235.10","9,332.90","9,404.60","9,221.00","199.27M","-1.03%"
"May 06, 2019","9,331.00","9,259.00","9,347.20","9,236.30","121.60M","-0.84%"
"May 03, 2019","9,409.60","9,427.90","9,450.70","9,388.70","126.74M","-0.09%"
"May 02, 2019","9,418.20","9,545.50","9,559.70","9,412.20","205.61M","-1.59%"
"Apr 30, 2019","9,570.60","9,497.30","9,570.60","9,455.50","186.88M","0.56%"
"Apr 29, 2019","9,517.20","9,435.30","9,517.20","9,414.40","146.30M","0.12%"
"Apr 26, 2019","9,506.00","9,512.10","9,527.40","9,448.80","153.32M","0.05%"
"Apr 25, 2019","9,501.20","9,450.80","9,503.80","9,421.30","147.42M","0.47%"
"Apr 24, 2019","9,456.40","9,506.30","9,525.20","9,427.40","157.93M","-0.74%"
"Apr 23, 2019","9,527.20","9,586.00","9,588.20","9,492.20","159.55M","-0.57%"
"Apr 18, 2019","9,581.90","9,553.70","9,581.90","9,480.00","165.27M","0.34%"
"Apr 17, 2019","9,549.80","9,486.00","9,580.60","9,460.50","193.16M","0.55%"
"Apr 16, 2019","9,497.30","9,492.40","9,543.70","9,462.90","140.51M","0.00%"
"Apr 15, 2019","9,497.10","9,488.10","9,528.40","9,468.10","156.93M","0.30%"
"Apr 12, 2019","9,468.50","9,441.30","9,509.20","9,390.20","212.33M","0.24%"
"Apr 11, 2019","9,445.40","9,423.10","9,468.70","9,372.30","178.53M","0.41%"
"Apr 10, 2019","9,406.50","9,423.50","9,467.50","9,395.20","152.20M","-0.01%"
"Apr 09, 2019","9,407.80","9,428.30","9,511.20","9,388.30","137.60M","-0.32%"
"Apr 08, 2019","9,437.70","9,483.40","9,495.10","9,425.20","121.81M","-0.76%"
"Apr 05, 2019","9,510.30","9,542.40","9,553.60","9,476.50","178.69M","-0.25%"
"Apr 04, 2019","9,534.10","9,488.90","9,551.50","9,472.00","164.76M","0.49%"
"Apr 03, 2019","9,487.80","9,457.10","9,491.20","9,436.50","173.81M","1.33%"
"Apr 02, 2019","9,363.50","9,356.70","9,400.70","9,322.90","152.28M","0.23%"
